blue1,blue2,blue3,blue4,blue5,red1,red2,red3,red4,red5,result,league,atakhans,opp_atakhans,golddiffat25,golddiffat20,golddiffat15,golddiffat10,firstmidtower,firstherald,dragons,opp_dragons,void_grubs,opp_void_grubs
Azir,Skarner,Aatrox,Lucian,Rakan,Sion,Wukong,Ahri,Rell,Ezreal,0,LCK,0.0,1.0,-3840.0,-1510.0,1110.0,763.0,0.0,0.0,2.0,2.0,1.0,2.0
Viktor,Kalista,Renata Glasc,Yorick,Nocturne,Xin Zhao,Neeko,Ezreal,Annie,Olaf,1,LCK,1.0,0.0,6251.0,3436.0,1332.0,692.0,1.0,0.0,3.0,1.0,3.0,0.0
Azir,Poppy,Jayce,Lucian,Braum,Rumble,Skarner,Smolder,Senna,Nautilus,0,LCK,0.0,1.0,96.0,482.0,-1188.0,316.0,0.0,1.0,0.0,5.0,3.0,0.0
Azir,Rumble,Wukong,Varus,Nautilus,Pantheon,Viktor,Jayce,Neeko,Kalista,0,LCKC,0.0,1.0,-9558.0,-6642.0,-1311.0,-107.0,0.0,0.0,1.0,3.0,1.0,2.0
Pantheon,Rumble,Orianna,Nautilus,Kai'Sa,Xin Zhao,Ryze,Ornn,Ezreal,Leona,1,LCKC,1.0,0.0,62.0,-2196.0,-1509.0,-1284.0,0.0,0.0,2.0,3.0,0.0,3.0
Xin Zhao,Ryze,Miss Fortune,K'Sante,Rell,Taliyah,Skarner,Ezreal,Jax,Alistar,0,LCKC,0.0,1.0,-13518.0,-9000.0,-4044.0,-1455.0,0.0,0.0,1.0,3.0,0.0,3.0
Gwen,Wukong,Sylas,Zeri,Rakan,Jayce,Ahri,Skarner,Xayah,Rell,1,LCKC,1.0,0.0,3420.0,-1053.0,961.0,579.0,0.0,0.0,1.0,3.0,3.0,0.0
Viktor,Senna,Alistar,Viego,Aatrox,Nidalee,Sion,Corki,Smolder,Braum,1,LCKC,1.0,0.0,1313.0,735.0,254.0,35.0,0.0,1.0,4.0,1.0,0.0,3.0
Xin Zhao,Jayce,Ahri,Lucian,Braum,Ryze,Trundle,Yorick,Varus,Rell,1,LCK,1.0,0.0,10231.0,7006.0,1239.0,1112.0,1.0,1.0,4.0,0.0,3.0,0.0
Viktor,Poppy,Gnar,Gragas,Senna,Gwen,Galio,Nocturne,Alistar,Tristana,0,LCK,0.0,1.0,2353.0,214.0,933.0,622.0,1.0,1.0,3.0,3.0,1.0,2.0
Xin Zhao,Taliyah,Varus,Nautilus,Sion,Vi,Ahri,Rumble,Neeko,Kai'Sa,1,LCP,1.0,0.0,4410.0,2040.0,1047.0,-552.0,1.0,1.0,4.0,1.0,1.0,2.0
Pantheon,Galio,Nidalee,Ezreal,Leona,Rumble,Taliyah,Xin Zhao,Alistar,Jhin,0,LCK,0.0,1.0,-378.0,-1140.0,63.0,-97.0,0.0,0.0,2.0,3.0,1.0,2.0
Nidalee,Corki,Leona,Miss Fortune,Renekton,Ezreal,Viego,Rell,Aurora,Jayce,1,LCP,1.0,0.0,9155.0,5507.0,3040.0,1604.0,1.0,1.0,4.0,0.0,3.0,0.0
Azir,Sejuani,Varus,Camille,Shen,Sion,Ahri,Wukong,Miss Fortune,Rell,1,LCK,1.0,0.0,5691.0,3132.0,1520.0,391.0,1.0,1.0,1.0,2.0,3.0,0.0
Ashe,Wukong,Galio,Ornn,Rakan,Ambessa,Annie,Jarvan IV,Jhin,Alistar,0,LCP,0.0,1.0,-5049.0,-2107.0,14.0,27.0,0.0,0.0,1.0,3.0,3.0,0.0
Ryze,Yorick,Trundle,Jinx,Lulu,Viego,Orianna,Xayah,Braum,Aurora,1,LCK,0.0,1.0,7793.0,5107.0,1961.0,487.0,1.0,0.0,2.0,1.0,3.0,0.0
Rumble,Xin Zhao,Azir,Xayah,Rakan,Pantheon,Gwen,Hwei,Alistar,Senna,1,LCP,1.0,0.0,7017.0,3152.0,3002.0,1588.0,1.0,1.0,2.0,1.0,2.0,1.0
Wukong,Kalista,Renata Glasc,Galio,Shyvana,Lucian,Yorick,Nami,Viktor,Poppy,1,LCP,1.0,0.0,7167.0,5674.0,2172.0,1564.0,1.0,1.0,2.0,1.0,2.0,1.0
Azir,Sejuani,Jayce,Varus,Rell,Gwen,Xin Zhao,Ahri,Senna,Nautilus,0,LCK,0.0,1.0,-4385.0,-2226.0,-623.0,57.0,0.0,0.0,1.0,3.0,2.0,1.0
Taliyah,Wukong,Sion,Jhin,Leona,Pantheon,Ryze,Cho'Gath,Ezreal,Neeko,1,LCK,1.0,0.0,8424.0,1460.0,-125.0,-1530.0,0.0,0.0,3.0,2.0,3.0,0.0
Nidalee,Corki,K'Sante,Xayah,Rakan,Yorick,Kindred,Alistar,Viktor,Jinx,0,LCK,1.0,0.0,-189.0,-276.0,557.0,183.0,0.0,0.0,2.0,3.0,1.0,2.0
Rumble,Sejuani,Yone,Senna,Nautilus,Gwen,Taliyah,Skarner,Miss Fortune,Rell,0,LCK,0.0,1.0,-6393.0,-6902.0,-3789.0,-449.0,0.0,1.0,2.0,1.0,0.0,3.0
