pick1,pick2,pick3,pick4,pick5,result,poke_avg,cc_avg,mobilidade_avg,tipo_predito
Neeko,Kai'Sa,Skarner,Hwei,Aatrox,1,0.512,0.8,0.806, POKE
Sion,Leona,Draven,Lissandra,Lee Sin,0,0.472,0.8,0.78, PEEL
Xin Zhao,Kai'Sa,Nautilus,Yorick,Ahri,0,0.466,0.8,0.8239999999999998,PEEL
Varus,Lee Sin,Renata Glasc,Sion,Ryze,1,0.504,0.8,0.776, POKE
Senna,Gwen,Nautilus,Trundle,Orianna,0,0.532,1.0,0.7539999999999999, SIEGE
Azir,Xin Zhao,Jayce,Ezreal,Alistar,1,0.6399999999999999,0.6,0.8240000000000001,PEEL
Varus,Skarner,Neeko,Rumble,Corki,0,0.6300000000000001,0.6,0.758, BURST
Kalista,Pantheon,Nautilus,Sion,Zoe,1,0.462,0.4,0.8039999999999999, BURST
Varus,Taliyah,Pantheon,Sion,Bard,0,0.5040000000000001,0.4,0.7819999999999999, WOMBOCOMBO
Lucian,Ahri,Nami,Jarvan IV,Ornn,1,0.51,0.8,0.818,PEEL
Rumble,Senna,Nautilus,Wukong,Ahri,0,0.546,1.0,0.8019999999999999, POKE
Ornn,Miss Fortune,Rell,Viego,Annie,1,0.476,0.6,0.766, SIEGE
Rell,Miss Fortune,Syndra,Nocturne,Ambessa,1,0.5299999999999999,0.6,0.7979999999999999, POKE
Corki,Alistar,Lux,Naafiri,Renekton,0,0.526,0.6,0.8140000000000001,PEEL
Ahri,Rell,Naafiri,Ezreal,Gnar,1,0.508,0.6,0.8300000000000001,PEEL
Miss Fortune,Aurora,Leona,Xin Zhao,Camille,0,0.506,0.8,0.8019999999999999, POKE
Pantheon,Ahri,Neeko,Jhin,Ambessa,0,0.594,0.6,0.8099999999999999, POKE
Miss Fortune,Viktor,Leona,Naafiri,K'Sante,1,0.476,0.6,0.7859999999999999, PEEL
Jayce,Zeri,Lulu,Zoe,Xin Zhao,0,0.626,0.4,0.8459999999999999, SPLIT
Gragas,Lucian,Nami,Azir,Kha'Zix,1,0.6199999999999999,0.6,0.812,PEEL
Sejuani,Zeri,Lulu,Yorick,Orianna,1,0.492,0.8,0.7979999999999998, PEEL
